likes,body,url
1997,"Четвёртое измерение представить себе невозможно. Лично я с трудом представляю себе даже трёхмерное пространство!

— Стивен Хокинг",https://sun1-23.userapi.com/c857520/v857520908/14e46f/Nu9TFwA_P-Y.jpg
505,три месяца не мыл ложку,https://sun1-22.userapi.com/c205124/v205124747/3a968/NrdpTXgesDo.jpg
1001,ну дела,https://sun1-47.userapi.com/c857320/v857320267/b1f0c/atRfBxr9J6g.jpg
479,фффристайло остается навсегда,https://sun1-22.userapi.com/c854424/v854424116/1d268d/HDuiaskJ8WA.jpg
818,мой папа,https://sun1-23.userapi.com/c858024/v858024472/153cd6/YbF5favkjBA.jpg
493,,https://sun1-17.userapi.com/c858124/v858124447/1556f6/Jh6Gg7nGS2I.jpg
684,🤔,https://sun1-23.userapi.com/c204724/v204724489/38d1c/phd4uIx-kdQ.jpg
727,,https://sun1-30.userapi.com/c854428/v854428672/1d02d5/YhdMrN-uLSw.jpg
338,,https://sun1-86.userapi.com/c855720/v855720823/1cecdb/FCVbMaAT2T4.jpg
605,,https://sun1-98.userapi.com/c857732/v857732140/1457ed/OEnsJCkb-Gs.jpg
849,,https://sun9-42.userapi.com/c855436/v855436743/1cb8f6/4slzNoajGAg.jpg
748,,https://sun1-86.userapi.com/c857228/v857228896/ae4a6/QctgmlecywU.jpg
922,,https://sun1-14.userapi.com/c854016/v854016646/1cfb1b/EjxRLWMmtJo.jpg
660,тайная комната,https://sun1-99.userapi.com/c857228/v857228896/ae494/fiTbAW0iuMM.jpg
880,"Уличным художникам из Петербурга уже 3 раза пришлось подписывать памятник, после вандализма коммунальных служб",https://sun1-16.userapi.com/c854120/v854120015/1c2f59/f2at2J4_oJs.jpg
741,,https://sun1-27.userapi.com/c857228/v857228896/ae48d/zju2OcRL_4g.jpg
680,"Довыпендривался, супермен",https://sun9-6.userapi.com/c205516/v205516976/384d8/j7PGuERu5gU.jpg
517,,https://sun1-98.userapi.com/c856120/v856120873/1c7003/ZsqycADcwS4.jpg
285,,https://sun1-27.userapi.com/c635104/v635104856/4eda1/5uzMoxskWdw.jpg
556,квадрат собакевича,https://sun1-98.userapi.com/c857228/v857228195/b059e/mdlmLpthGsg.jpg
659,,https://sun1-86.userapi.com/c855132/v855132889/1cd0d4/l8rooG0AIDs.jpg
736,,https://sun1-21.userapi.com/c857228/v857228896/ae485/EAH7OAGJ4UA.jpg
871,,https://sun1-99.userapi.com/c205816/v205816743/2db97/oIZJYrjZrKY.jpg
1436,как вежливо отказаться,https://sun1-18.userapi.com/c854324/v854324250/1ce2f3/qtDHlQ1BR_E.jpg
1595,Анархия,https://sun1-90.userapi.com/c205128/v205128941/3b021/la5eFSt2n7o.jpg
677,"как тебе такое, Илон Маск?",https://sun1-84.userapi.com/c858524/v858524896/ace98/NUt-BS2N2dU.jpg
1112,,https://sun1-17.userapi.com/c854524/v854524210/1bf55f/C9e6CewDw7Y.jpg
640,как называется это животное?,https://sun1-87.userapi.com/c854128/v854128016/1ca8ae/EvPj1yWaY-g.jpg
1041,Как сказать если твоя кошка задумала убить тебя,https://sun1-29.userapi.com/c206816/v206816410/39ba6/_APOSgmFMWc.jpg
1636,,https://sun1-24.userapi.com/c204616/v204616221/3ac64/Vpq9rCl9kRc.jpg
685,Пупок - это ваш бывший рот. Спокойной ночи,https://sun1-24.userapi.com/c204616/v204616221/3ac64/Vpq9rCl9kRc.jpg
571,,https://sun1-25.userapi.com/c200328/v200328567/38028/DfUrdzyP0mo.jpg
547,,https://sun1-84.userapi.com/c857432/v857432657/13edec/TSIlRPi-jXA.jpg
360,какой ключ к сердцу женщины?,https://sun9-46.userapi.com/c856032/v856032579/1c8299/XNaIt_C-szA.jpg
1121,детеныш панельки,https://sun1-90.userapi.com/c854320/v854320982/1c4bb7/StrJ7PpYmdo.jpg
705,"приходите в мой дом, мои двери открыты",https://sun1-27.userapi.com/c855228/v855228815/1ccff6/paS45AgRD2U.jpg
580,,https://sun9-22.userapi.com/c204724/v204724102/38c63/WLUoTGa27G4.jpg
